prov,time,gdp,pergdp,ei,fdi,il,lnpergdp,ui,pilot,post09,cross09,post10,cross10,post11,cross11,post12,cross12,post13,cross13,post14,cross14,post15,cross15,post16,cross16,lnlctfp,lnlci,eps,ind_num1,ind_num2,ind_num3,ind_num4,forest1,forest2,forest3
北京,2008,10488.03,63029.0,0.6032714389642287,0.026067812544395847,0.257,11.051350216920406,0.8490000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30010459245033816,7.8407064517494,12418.0,8.882530508433623,4.820281565605037,4.927253685157205,8.752601857748898,21.26,97.29,15548.0
北京,2009,12153.03,70452.0,0.540634083845757,0.021838175335698172,0.235,11.162686905852187,0.85,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3148107398400336,8.11701408773731,13799.0,8.837826364007704,4.8283137373023015,5.062595033026967,8.790321195358189,31.72,101.46,17566.0
北京,2010,14113.58,75943.0,0.49272047772429106,0.016849020588681256,0.24,11.237738337877763,0.8595999999999999,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4252677354043441,8.400659375160286,17782.0,8.83695515733143,4.543294782270004,4.897839799950911,8.847079488268262,31.72,101.46,13887.0
北京,2011,16251.93,81658.0,0.43043490157784337,0.01616423403251183,0.231,11.31029507277839,0.862,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.5596157879354227,8.630878955820053,16852.0,8.228443883004033,4.477336814478207,4.948759890378168,8.853007768969983,31.72,101.46,20796.0
北京,2012,17879.4,87475.0,0.4014498215823797,0.016158260344306855,0.22699999999999998,11.37910831723589,0.862,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.5596157879354227,8.85209276347713,17022.0,8.213923595622743,4.48863636973214,5.2574953720277815,8.878731754760121,31.72,101.46,35752.0
北京,2013,19500.56,93213.0,0.3448106105670811,0.01597390023671115,0.223,11.442642475925098,0.863,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.7371640659767196,9.017604776833355,18553.0,8.216358332386156,4.795790545596741,5.438079308923196,8.813438494528507,35.84,101.35,45813.0
北京,2014,21330.83,99995.0,0.3202407032450214,0.010318398299550462,0.213,11.512875463720187,0.8634999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.6151856390902335,9.134322885552267,18833.0,8.212297138229768,5.123963979403259,5.552959584921617,8.82922635473185,35.84,101.35,22937.0
北京,2015,23014.59,106497.0,0.29559509858746125,0.014088063267692363,0.1973809,11.575872094720777,0.865,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.688134638736401,9.262837940933936,22633.0,8.17413934342947,4.941642422609304,5.198497031265826,8.825118970345061,35.84,101.35,20331.0
北京,2016,25669.13,118198.0,0.2694676445987846,0.011807568078855806,0.19260000000000002,11.680116463337209,0.865,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7839015438284094,9.351839934249883,27497.0,8.113726085970747,5.204006687076795,5.407171771460119,8.841737428600585,35.84,101.35,19064.0
天津,2008,6354.38,55473.0,0.8440779068925686,0.045228645438264624,0.601,10.923651694875096,0.7723,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09431067947124129,6.486160788944089,6015.0,8.980927207648378,5.60947179518496,6.373319789577012,8.587389141580394,8.14,13.44,11216.0
天津,2009,7521.85,62574.0,0.7809362856212235,0.03539022979719085,0.53,11.044105135349268,0.7801,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01005033585350145,6.672032945461067,6886.0,9.02713842775492,5.6937321388027,6.628041376179533,8.67830568434561,8.24,14.22,15654.0
天津,2010,9224.46,72994.0,0.739130529049939,0.030831073038421763,0.525,11.198132524971777,0.7955,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.030459207484708574,6.942156705699469,8230.0,8.98054977794018,5.459585514144159,6.302618975744905,8.82733318627524,8.24,14.22,11315.0
天津,2011,11307.28,85213.0,0.6719962714286725,0.025965572622239832,0.524,11.352909283337558,0.805,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-0.020202707317519466,7.1276936993473985,8745.0,8.519789817263504,5.484796933490655,6.066108090103747,8.93569955810591,8.24,14.22,7401.0
天津,2012,12893.88,93173.0,0.6365817201649154,0.024717152633652557,0.517,11.44221325913184,0.8155,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.01005033585350145,7.484368643286131,8218.0,8.583355393669907,5.267858159063328,6.102558594613569,9.012865578618616,8.24,14.22,5357.0
